strain	stressMPA
0	0.0470632
4.065E-05	0.4052051
8.13E-05	0.763347
0.000121951	1.1214889
0.000162601	1.4796308
0.000204878	1.8377727
0.000243902	2.1959146
0.000284552	2.5540565
0.000325203	2.9121984
0.000365853	3.2703403
0.000404878	3.6284822
0.000447154	3.9866241
0.000487804	4.344766
0.000528455	4.7029079
0.000569105	5.0610498
0.000609756	5.4191917
0.000652032	5.7773336
0.000691057	6.1354755
0.000731707	6.4936174
0.000772357	6.8517593
0.000813008	7.2099012
0.000853658	7.5680431
0.000895935	7.926185
0.000934959	8.2843269
0.000975609	8.6424688
0.00101626	9.0006107
0.00105691	9.3587526
0.001097561	9.7168945
0.001138211	10.0750364
0.001178861	10.4331783
0.001219512	10.7913202
0.001260162	11.1494621
0.001300813	11.507604
0.001343089	11.8657459
0.001382113	12.2238878
0.001422764	12.5820297
0.001463414	12.9401716
0.001504065	13.2983135
0.001544715	13.6564554
0.001586991	14.0145973
0.001626016	14.3727392
0.001666666	14.7308811
0.001707317	15.089023
0.001747967	15.4471649
0.001788617	15.8053068
0.001830894	16.1634487
0.001869918	16.5215906
0.001910569	16.8797325
0.001951219	17.2378744
0.00199187	17.5960163
0.002034146	17.9541582
0.00207317	18.3123001
0.002113821	18.670442
0.002154471	19.0285839
0.002195122	19.3867258
0.002235772	19.7448677
0.002278048	20.1030096
0.002317073	20.4611515
0.002357723	20.8192934
0.002398374	21.1774353
0.002439024	21.5355772
0.002479674	21.8937191
0.002521951	22.251861
0.002560975	22.6100029
0.002601626	22.9681448
0.002642276	23.3262867
0.002682926	23.6844286
0.002725203	24.0425705
0.002764227	24.4007124
0.002804878	24.7588543
0.002845528	25.1169962
0.002886178	25.4751381
0.002926829	25.83328
0.002969105	26.1914219
0.00300813	26.5495638
0.00304878	26.9077057
0.00308943	27.2658476
0.003130081	27.6239895
0.003170731	27.9821314
0.003213008	28.3402733
0.003252032	28.6984152
0.003292683	29.0565571
0.003333333	29.414699
0.003373983	29.7728409
0.00341626	30.1309828
0.003455284	30.4891247
0.003495935	30.8472666
0.003536585	31.2054085
0.003577235	31.5635504
0.003617886	31.9216923
0.003660162	32.2798342
0.003699187	32.6379761
0.003739837	32.996118
0.003780487	33.3542599
0.003821138	33.7124018
0.003861788	34.0705437
0.003904065	34.4286856
0.003943089	34.7868275
0.003983739	35.1449694
0.00402439	35.5031113
0.00406504	35.8612532
0.004107317	36.2193951
0.004146341	36.577537
0.004186991	36.9356789
0.004227642	37.2938208
0.004268292	37.6519627
0.004308943	38.0101046
0.004351219	38.3682465
0.004390244	38.7263884
0.004430894	39.0845303
0.004471544	39.4426722
0.004512195	39.8008141
0.004552845	40.158956
0.004595122	40.5170979
0.004634146	40.8752398
0.004674796	41.2333817
0.004715447	41.5915236
0.004756097	41.9496655
0.004798374	42.3078074
0.004839024	42.6659493
0.004878048	43.0240912
0.004918699	43.3822331
0.004959349	43.740375
0.005	44.0985169
0.005042276	44.4566588
0.0050813	44.8148007
0.005121951	45.1729426
0.005162601	45.5310845
0.005203252	45.8892264
0.005243902	46.2473683
0.005286178	46.6055102
0.005325203	46.9636521
0.005365853	47.321794
0.005406504	47.6799359
0.005447154	48.0380778
0.00548943	48.3962197
0.005530081	48.7543616
0.005569105	49.1125035
0.005609756	49.4706454
0.005650406	49.8287873
0.005691057	50.1869292
0.005733333	50.5450711
0.005772357	50.903213
0.005813008	51.2613549
0.005853658	51.6194968
0.005894309	51.9776387
0.005934959	52.3357806
0.005977235	52.6939225
0.00601626	53.0520644
0.00605691	53.4102063
0.006097561	53.7683482
0.006138211	54.1264901
0.006180487	54.484632
0.006221138	54.8427739
0.006260162	55.2009158
0.006300813	55.5590577
0.006341463	55.9171996
0.006382113	56.2753415
0.00642439	56.6334834
0.006463414	56.9916253
0.006504065	57.3497672
0.006544715	57.7079091
0.006585365	58.066051
0.006626016	58.4241929
0.006668292	58.7823348
0.006707317	59.1404767
0.006747967	59.4986186
0.006788617	59.8567605
0.006829268	60.2149024
0.006869918	60.5730443
0.006912195	60.9311862
0.006951219	61.2893281
0.00699187	61.64747
0.00703252	62.0056119
0.00707317	62.3637538
0.007115447	62.7218957
0.007154471	63.0800376
0.007195122	63.4381795
0.007235772	63.7963214
0.007276422	64.1544633
0.007317073	64.5126052
0.007359349	64.8707471
0.007398374	65.228889
0.007439024	65.5870309
0.007479674	65.9451728
0.007520325	66.3033147
0.007560975	66.6614566
0.007603252	67.0195985
0.007642276	67.3777404
0.007682926	67.7358823
0.007723577	68.0940242
0.007764227	68.4521661
0.007806504	68.810308
0.007847154	69.1684499
0.007886178	69.5265918
0.007926829	69.8847337
0.007967479	70.2428756
0.00800813	70.6010175
0.008050406	70.9591594
0.00808943	71.3173013
0.008130081	71.6754432
0.008170731	72.0335851
0.008211382	72.391727
0.008252032	72.7498689
0.008294309	73.1080108
0.008333333	73.4661527
0.008373983	73.8242946
0.008414634	74.1824365
0.008455284	74.5405784
0.008497561	74.8987203
0.008538211	75.2568622
0.008577235	75.6150041
0.008617886	75.973146
0.008658536	76.3312879
0.008699187	76.6894298
0.008741463	77.0475717
0.008780487	77.4057136
0.008821138	77.7638555
0.008861788	78.1219974
0.008902439	78.4801393
0.008943089	78.8382812
0.008985365	79.1964231
0.00902439	79.554565
0.00906504	79.9127069
0.009105691	80.2708488
0.009146341	80.6289907
0.009188617	80.9871326
0.009229268	81.3452745
0.009268292	81.7034164
0.009308943	82.0615583
0.009349593	82.4197002
0.009390244	82.7778421
0.00943252	83.135984
0.009471544	83.4941259
0.009512195	83.8522678
0.009552845	84.2104097
0.009593496	84.5685516
0.009634146	84.9266935
0.009676422	85.2848354
0.009715447	85.6429773
0.009756097	86.0011192
0.009796748	86.3592611
0.009837398	86.717403
0.009879674	87.0755449
0.009920325	87.4336868
0.009959349	87.7918287
0.01	88.1499706
0.01004065	88.5081125
0.0100813	88.8662544
0.010123577	89.2243963
0.010162601	89.5825382
0.010203252	89.9406801
0.010243902	90.298822
0.010284552	90.6569639
0.010325203	91.0151058
0.010367479	91.3732477
0.010406504	91.7313896
0.010447154	92.0895315
0.010487804	92.4476734
0.010528455	92.8058153
0.010570731	93.1639572
0.010611382	93.5220991
0.010650406	93.880241
0.010691057	94.2383829
0.010731707	94.5965248
0.010772357	94.9546667
0.010814634	95.3128086
0.010855284	95.6709505
0.010894309	96.0290924
0.010934959	96.3872343
0.010975609	96.7453762
0.01101626	97.1035181
0.011058536	97.46166
0.011097561	97.8198019
0.011138211	98.1779438
0.011178861	98.5360857
0.011219512	98.8942276
0.011261788	99.2523695
0.011302439	99.6105114
0.011341463	99.9686533
0.011382113	100.3267952
0.011422764	100.6849371
0.011463414	101.043079
0.011505691	101.4012209
0.011546341	101.7593628
0.011585365	102.1175047
0.011626016	102.4756466
0.011666666	102.8337885
0.011707317	103.1919304
0.011749593	103.5500723
0.011788617	103.9082142
0.011829268	104.2663561
0.011869918	104.624498
0.011910569	104.9826399
0.011952845	105.3407818
0.011993496	105.6989237
0.01203252	106.0570656
0.01207317	106.4152075
0.012113821	106.7733494
0.012154471	107.1314913
0.012196748	107.4896332
0.012237398	107.8477751
0.012276422	108.205917
0.012317073	108.5640589
0.012357723	108.9222008
0.012398374	109.2803427
0.01244065	109.6384846
0.012479674	109.9966265
0.012520325	110.3547684
0.012560975	110.7129103
0.012601626	111.0710522
0.012643902	111.4291941
0.012684552	111.787336
0.012723577	112.1454779
0.012764227	112.5036198
0.012804878	112.8617617
0.012845528	113.2199036
0.012887804	113.5780455
0.012928455	113.9361874
0.012967479	114.2943293
0.01300813	114.6524712
0.01304878	115.0106131
0.01308943	115.368755
0.013131707	115.7268969
0.013170731	116.0850388
0.013211382	116.4431807
0.013252032	116.8013226
0.013292683	117.1594645
0.013334959	117.5176064
0.013375609	117.8757483
0.013414634	118.2338902
0.013455284	118.5920321
0.013495935	118.950174
0.013536585	119.3083159
0.013578861	119.6664578
0.013619512	120.0245997
0.013658536	120.3827416
0.013699187	120.7408835
0.013739837	121.0990254
0.013780487	121.4571673
0.013822764	121.8153092
0.013863414	122.1734511
0.013902439	122.531593
0.013943089	122.8897349
0.013983739	123.2478768
0.01402439	123.6060187
0.014066666	123.9641606
0.014105691	124.3223025
0.014146341	124.6804444
0.014186991	125.0385863
0.014227642	125.3967282
0.014269918	125.7548701
0.014310569	126.113012
0.014349593	126.4711539
0.014390244	126.8292958
0.014430894	127.1874377
0.014471544	127.5455796
0.014513821	127.9037215
0.014554471	128.2618634
0.014593496	128.6200053
0.014634146	128.9781472
0.014674796	129.3362891
0.014715447	129.694431
0.014757723	130.0525729
0.014796748	130.4107148
0.014837398	130.7688567
0.014878048	131.1269986
