Strain StressMPa
0 0.05700702
4.06504E-05 0.235625167
8.13008E-05 0.414243313
0.000121951 0.592861459
0.000162602 0.771479605
0.000201626 0.950097752
0.000243902 1.128715898
0.000284553 1.307334044
0.000325203 1.485952191
0.000365854 1.664570337
0.000406504 1.843188483
0.00044878 2.021806629
0.000487805 2.200424776
0.000528455 2.379042922
0.000569106 2.557661068
0.000609756 2.736279214
0.00064878 2.914897361
0.000691057 3.093515507
0.000731707 3.272133653
0.000772358 3.4507518
0.000813008 3.629369946
0.000853659 3.807988092
0.000892683 3.986606238
0.000934959 4.165224385
0.00097561 4.343842531
0.00101626 4.522460677
0.001056911 4.701078823
0.001097561 4.87969697
0.001139837 5.058315116
0.001178862 5.236933262
0.001219512 5.415551409
0.001260163 5.594169555
0.001300813 5.772787701
0.001341463 5.951405847
0.001382114 6.130023994
0.001422764 6.30864214
0.001463415 6.487260286
0.001504065 6.665878432
0.001544715 6.844496579
0.00158374 7.023114725
0.001626016 7.201732871
0.001666667 7.380351018
0.001707317 7.558969164
0.001747967 7.73758731
0.001788618 7.916205456
0.001830894 8.094823603
0.001869919 8.273441749
0.001910569 8.452059895
0.00195122 8.630678041
0.00199187 8.809296188
0.00203252 8.987914334
0.002074797 9.16653248
0.002113821 9.345150627
0.002154472 9.523768773
0.002195122 9.702386919
0.002235772 9.881005065
0.002274797 10.05962321
0.002317073 10.23824136
0.002357724 10.4168595
0.002398374 10.59547765
0.002439024 10.7740958
0.002479675 10.95271394
0.002521951 11.13133209
0.002560976 11.30995024
0.002601626 11.48856838
0.002642276 11.66718653
0.002682927 11.84580467
0.002723577 12.02442282
0.002765854 12.20304097
0.002804878 12.38165911
0.002845528 12.56027726
0.002886179 12.73889541
0.002926829 12.91751355
0.002965854 13.0961317
0.00300813 13.27474984
0.00304878 13.45336799
0.003089431 13.63198614
0.003130081 13.81060428
0.003170732 13.98922243
0.003213008 14.16784058
0.003252033 14.34645872
0.003292683 14.52507687
0.003333333 14.70369501
0.003373984 14.88231316
0.003414634 15.06093131
0.003456911 15.23954945
0.003495935 15.4181676
0.003536585 15.59678575
0.003577236 15.77540389
0.003617886 15.95402204
0.003656911 16.13264018
0.003699187 16.31125833
0.003739837 16.48987648
0.003780488 16.66849462
0.003821138 16.84711277
0.003861789 17.02573092
0.003904065 17.20434906
0.003943089 17.38296721
